"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"118","LOC102129822",5.14056721992996e-84,3.3982152436253,0.576,0.041,1.27588878398662e-79
"119","AKR1A1",7.89040493739966e-84,1.94390542299609,0.732,0.151,1.9583985054626e-79
"120","KCNJ2",7.89482982091272e-84,-4.73583136460524,0.039,0.249,1.95949676155054e-79
"121","PABPC1",7.90712535082238e-84,1.82395187496445,0.789,0.19,1.96254851207411e-79
"122","LAMP1",8.33310196111597e-84,1.74585762486188,0.799,0.27,2.06827590674898e-79
"123","ALDH1A1",2.43768816520876e-83,3.12296517305265,0.592,0.053,6.05034202604814e-79
"124","ARL4C",6.226223937868e-83,2.71851264158057,0.625,0.078,1.54534878137884e-78
"125","ZCCHC6",6.29523943182601e-83,-3.2481729346474,0.413,0.664,1.56247842697921e-78
"126","LOC102145630",8.99263741626226e-83,1.56071397806015,0.837,0.254,2.23197260671629e-78
"127","SLC25A6",1.25287511521579e-82,1.57958287437194,0.847,0.259,3.1096360359656e-78
"128","CD84",1.4035769963849e-82,3.05190575577891,0.585,0.046,3.48367810502732e-78
"129","PPT1",1.51809519980949e-82,2.40012311881381,0.633,0.073,3.76791228592716e-78
"130","RPL22",2.06328472506879e-82,2.85841595793183,0.585,0.043,5.12107268762074e-78
"131","MMP9",3.1219204070117e-82,-2.98792343775081,0.168,0.497,7.74860645020304e-78
"132","ADAMDEC1",8.55552603904074e-82,3.17099163871709,0.605,0.089,2.12348156288991e-77
"133","NAAA",9.23530011338851e-82,3.42206736829181,0.57,0.039,2.29220148814303e-77
"134","FMNL2",1.60690707293472e-81,3.89157888856825,0.549,0.027,3.98834335502398e-77
"135","RPS16",5.38225851901638e-81,1.88684338771769,0.698,0.124,1.33587656441987e-76
"136","CPM",8.33443697523012e-81,3.66350420802235,0.565,0.046,2.06860725725212e-76
"137","RNH1",2.35954221644679e-80,2.93581490804877,0.583,0.048,5.85638378122094e-76
"138","TSPO",3.03363952791479e-80,2.3413684285274,0.623,0.073,7.52949330828452e-76
"139","P4HB",3.29352810208269e-80,1.93043677246461,0.665,0.101,8.17453674936924e-76
"140","LOC102130734",2.09216820905825e-79,3.26639684441098,0.568,0.048,5.19276149488258e-75
"141","C1QB",3.9078876158512e-79,3.35393964715221,0.608,0.114,9.69937706254269e-75
"142","TACC1",5.07463402620348e-79,2.47704055482147,0.61,0.069,1.2595241653037e-74
"143","LOC102125623",6.41732897255157e-79,-1.2715523879432,0.889,0.906,1.5927810509873e-74
"144","ALDH9A1",7.69288921170764e-79,2.69599461226113,0.58,0.05,1.90937510234584e-74
"145","EIF3F",8.13866448131181e-79,2.3328696436796,0.607,0.064,2.02001652426159e-74
"146","RPL23",1.42766361229766e-78,1.44505170320128,0.881,0.304,3.54346108572278e-74
"147","RPL18A",1.52024187348383e-78,1.6212430742735,0.797,0.222,3.77324032998685e-74
"148","CCDC88A",1.94842726084333e-78,2.86112039068533,0.582,0.055,4.83599646141316e-74
"149","S100A6",4.45914636614499e-78,2.55147228945787,0.616,0.082,1.10676012807719e-73
"150","VAT1",1.71906941856658e-77,3.53500001621734,0.542,0.032,4.26673029688225e-73
"151","ANXA1",1.22674269489895e-76,2.0480010021027,0.627,0.089,3.04477536873919e-72
"152","SLC25A3",2.51830613277648e-76,1.58117529284878,0.777,0.199,6.25043582155122e-72
"153","GSTP1",2.84750832207358e-76,2.16751089460091,0.642,0.098,7.06751565538664e-72
"154","LOC107127274",7.51679187149257e-75,-5.29897124359951,0.019,0.172,1.86566774250446e-70
