"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.96944665616048e-34,0.851006146256926,0.305,0.098,4.88816660059031e-30,"11","TRIO"
2.06437586168821e-34,1.24599158063868,0.254,0.074,5.12378088871014e-30,"11","PTGR2"
2.98687637160682e-34,0.917376575404478,0.73,0.402,7.41342715432813e-30,"11","PPT1"
3.74680178462167e-34,1.13434732484992,0.251,0.073,9.29956202943099e-30,"11","COQ6"
3.77295299672636e-34,0.849320646743312,0.652,0.324,9.36446933787482e-30,"11","VAMP8"
4.16477500940426e-34,0.93010827501053,0.372,0.134,1.03369715733414e-29,"11","ARID2"
4.87163734546353e-34,1.04106281840974,0.457,0.189,1.20914038914405e-29,"11","UROD"
6.50000820254113e-34,0.557791178608518,0.874,0.517,1.61330203587071e-29,"11","NPC2"
6.70261127218493e-34,1.17481641345951,0.369,0.136,1.6635881177563e-29,"11","SPG20"
9.03005345164656e-34,1.05929422640432,0.278,0.085,2.24125926669868e-29,"11","GGA1"
9.6944456319518e-34,0.780408618837534,0.302,0.097,2.40616140585044e-29,"11","MRPS23"
1.21541325264588e-33,1.04347445198144,0.495,0.212,3.01665569306707e-29,"11","ZMAT3"
1.33157550679172e-33,0.973633071208813,0.564,0.269,3.30497040785705e-29,"11","GSTK1"
1.71228193540882e-33,0.762231699766355,0.848,0.484,4.24988376368469e-29,"11","AIF1"
2.01540930638372e-33,0.887805696989218,0.674,0.354,5.0022458984444e-29,"11","SLC15A3"
2.02895722614685e-33,0.771221077722089,0.615,0.297,5.03587183529647e-29,"11","CD59"
2.12492319194163e-33,0.930774958732959,0.433,0.172,5.27405936239912e-29,"11","PSMB5"
3.1761698966591e-33,1.17434394606073,0.401,0.156,7.88325368350789e-29,"11","PBLD"
3.81459075626134e-33,1.09781420390416,0.326,0.113,9.46781425704064e-29,"11","SLC7A8"
4.11015577873939e-33,0.879971663125509,0.332,0.114,1.02014066428312e-28,"11","TM2D2"
4.92395988917349e-33,1.02476078028475,0.361,0.131,1.22212684449286e-28,"11","SLC36A4"
4.9952951068702e-33,0.770739549785872,0.816,0.557,1.23983224552518e-28,"11","TGOLN2"
5.00951572142849e-33,1.05710542285404,0.329,0.113,1.24336180205855e-28,"11","CAMSAP2"
9.31766497943677e-33,0.885871914076592,0.639,0.327,2.31264444789621e-28,"11","HEXA"
1.25906593093027e-32,0.800071082643343,0.61,0.29,3.12500164056894e-28,"11","ITCH"
1.26962346316559e-32,0.912655512373446,0.455,0.189,3.15120543557699e-28,"11","RDX"
1.76711841227936e-32,0.954576928233737,0.433,0.174,4.38598789927737e-28,"11","DYNC1LI2"
1.79567389402741e-32,0.987336684298583,0.313,0.106,4.45686260497603e-28,"11","NCLN"
1.92250791632656e-32,0.846403597202296,0.529,0.233,4.77166464832253e-28,"11","C1H1orf122"
2.02373888189599e-32,0.493529480806086,0.348,0.121,5.02291990486584e-28,"11","C1H1orf186"
2.07811180761284e-32,0.774332824535702,0.666,0.344,5.15787350649507e-28,"11","PGD"
2.33997447257735e-32,1.29516804272996,0.265,0.083,5.80781664093697e-28,"11","CLCN4"
2.4563005208947e-32,1.17643026825543,0.326,0.114,6.09653789286063e-28,"11","LOC102132250"
2.76599661538388e-32,0.822510991382667,0.382,0.144,6.86520359938279e-28,"11","USP33"
3.03178916860091e-32,0.905553740853031,0.492,0.214,7.52490071646745e-28,"11","DDRGK1"
3.22658308082875e-32,1.22162547478502,0.289,0.095,8.00837920661696e-28,"11","ERLIN2"
4.15314900376018e-32,1.094834362293,0.366,0.136,1.03081158273328e-27,"11","ARHGAP10"
5.41087966699651e-32,0.892778553649432,0.332,0.115,1.34298033334853e-27,"11","SMS"
1.26962961401729e-31,1.19292453169739,0.332,0.118,3.15122070199092e-27,"11","ADPRH"
1.33162691816934e-31,0.900029954824717,0.382,0.145,3.3050980108963e-27,"11","ATP6V1H"
2.09293586236596e-31,0.685320090003103,0.588,0.283,5.19466681039232e-27,"11","IL6ST"
2.21137982814077e-31,1.027740496488,0.329,0.116,5.4886447334454e-27,"11","CMAS"
2.48012449512372e-31,0.653392437298149,0.463,0.193,6.15566899689707e-27,"11","IRS2"
2.60247108795562e-31,0.77300818600226,0.481,0.208,6.45933324030585e-27,"11","RAB20"
2.82524066975964e-31,0.764113145451809,0.35,0.127,7.01224734234344e-27,"11","CSTA"
3.22199013498692e-31,0.98328435911108,0.281,0.09,7.99697951503754e-27,"11","ATP10A"
3.46767260753926e-31,0.88357025504815,0.511,0.227,8.60676341191244e-27,"11","PEPD"
